id,date,hour,lan,lon
AL011907,19070625,1800,17.7,-82.4
AL011907,19070626,0000,18.6,-83.4
AL011907,19070626,0600,19.6,-84.3
AL011907,19070626,1200,20.6,-85.3
AL011907,19070626,1800,21.8,-86.2
AL011907,19070627,0000,22.9,-87.1
AL011907,19070627,0600,24.0,-88.0
AL011907,19070627,1200,25.2,-88.9
AL011907,19070627,1800,26.2,-89.4
AL011907,19070628,0000,27.0,-89.6
AL011907,19070628,0600,27.6,-89.4
AL011907,19070628,1200,28.3,-89.0
AL011907,19070628,1800,29.3,-87.8
AL011907,19070628,2300,30.3,-85.9
AL011907,19070629,0000,30.3,-85.8
AL011907,19070629,0600,30.8,-83.5
AL011907,19070629,1200,31.8,-80.8
AL011907,19070629,1800,34.0,-78.0
AL011907,19070630,0000,36.5,-76.0
AL011907,19070630,0600,39.2,-73.3
AL011907,19070630,1200,42.0,-70.5
AL011907,19070630,1800,45.0,-67.5
AL021907,19070918,1200,25.0,-79.0
AL021907,19070918,1800,25.5,-80.3
AL021907,19070919,0000,25.9,-81.6
AL021907,19070919,0600,26.3,-82.8
AL021907,19070919,1200,26.7,-84.0
AL021907,19070919,1800,27.1,-85.0
AL021907,19070920,0000,27.5,-85.8
AL021907,19070920,0600,27.9,-86.4
AL021907,19070920,1200,28.3,-87.0
AL021907,19070920,1800,28.7,-87.6
AL021907,19070921,0000,29.1,-88.2
AL021907,19070921,0600,29.5,-88.7
AL021907,19070921,1200,30.0,-89.0
AL021907,19070921,1700,30.4,-88.9
AL021907,19070921,1800,30.5,-88.9
AL021907,19070922,0000,31.0,-88.8
AL021907,19070922,0600,31.5,-88.4
AL021907,19070922,1200,32.1,-87.6
AL021907,19070922,1800,32.9,-86.3
AL021907,19070923,0000,33.8,-84.7
AL021907,19070923,0600,34.7,-83.0
AL021907,19070923,1200,35.7,-81.3
AL021907,19070923,1800,36.8,-79.6
AL031907,19070927,0600,22.3,-94.1
AL031907,19070927,1200,23.3,-93.3
AL031907,19070927,1800,24.5,-92.5
AL031907,19070928,0000,25.7,-91.3
AL031907,19070928,0600,27.0,-90.0
AL031907,19070928,1200,28.3,-88.5
AL031907,19070928,1800,29.6,-86.6
AL031907,19070928,2000,30.1,-85.7
AL031907,19070929,0000,30.9,-84.3
AL031907,19070929,0600,31.8,-81.9
AL031907,19070929,1200,32.7,-79.0
AL031907,19070929,1800,34.0,-75.5
AL031907,19070930,0000,35.5,-71.5
AL041907,19071017,0600,26.3,-67.4
AL041907,19071017,1200,26.4,-66.0
AL041907,19071017,1800,26.8,-64.6
AL041907,19071018,0000,27.5,-63.2
AL041907,19071018,0600,28.3,-61.8
AL041907,19071018,1200,29.0,-60.5
AL041907,19071018,1800,30.4,-59.4
AL041907,19071019,0000,31.7,-58.2
AL041907,19071019,0600,32.8,-57.3
AL041907,19071019,1200,34.0,-56.0
AL041907,19071019,1800,35.6,-54.0
